iter	Passed	Remaining
886	484456	61717
887	484947	61164
888	485496	60618
889	486029	60071
890	486537	59520
891	487082	58974
892	487630	58428
893	488126	57876
894	488688	57332
895	489242	56787
896	489791	56241
897	490315	55692
898	490861	55146
899	491384	54598
900	491928	54052
901	492516	53510
902	493018	52959
903	493577	52415
904	494140	51871
905	494674	51323
906	495268	50782
907	495942	50249
908	496508	49705
909	497112	49164
910	497696	48622
911	498181	48070
912	498761	47527
913	499287	46978
914	499844	46433
915	500353	45883
916	500903	45338
917	501582	44803
918	502105	44255
919	502649	43708
920	503260	43167
921	503757	42617
922	504258	42067
923	504794	41519
924	505365	40975
925	505946	40432
926	506490	39885
927	506994	39335
928	507523	38788
929	508060	38241
930	508624	37696
931	509256	37156
932	509812	36610
933	510328	36061
934	510929	35519
935	511456	34971
936	511977	34423
937	512470	33873
938	513020	33327
939	513562	32780
940	514160	32237
941	514637	31686
942	515160	31139
943	515660	30590
944	516222	30044
945	516794	29499
946	517348	28954
947	517813	28403
948	518408	27859
949	518914	27311
950	519445	26764
951	519963	26216
952	520469	25668
953	520985	25120
954	521552	24575
955	522032	24026
956	522570	23480
957	523103	22933
958	523594	22385
959	524151	21839
960	524670	21292
961	525213	20746
962	525785	20201
963	526287	19653
964	526778	19105
965	527277	18558
966	527825	18012
967	528335	17465
968	528796	16917
969	529332	16371
970	529844	15824
971	530314	15276
972	530955	14733
973	531482	14187
974	532015	13641
975	532540	13095
976	533053	12548
977	533627	12003
978	534133	11457
979	534720	10912
980	535405	10369
981	536174	9828
982	536845	9284
983	537384	8737
984	537931	8191
985	538450	7645
986	539018	7099
987	539620	6554
988	540177	6008
989	540660	5461
990	541232	4915
991	541770	4369
992	542302	3822
993	542880	3276
994	543427	2730
995	544050	2184
996	544622	1638
997	545181	1092
998	545797	546
999	546329	0
